num_planes,cost,revisit_time,quality,f_phasing,plane_1_alt,plane_1_inc,plane_1_high_q,plane_1_med_q,plane_1_low_q,plane_2_alt,plane_2_inc,plane_2_high_q,plane_2_med_q,plane_2_low_q,plane_3_alt,plane_3_inc,plane_3_high_q,plane_3_med_q,plane_3_low_q,plane_4_alt,plane_4_inc,plane_4_high_q,plane_4_med_q,plane_4_low_q,plane_5_alt,plane_5_inc,plane_5_high_q,plane_5_med_q,plane_5_low_q,plane_6_alt,plane_6_inc,plane_6_high_q,plane_6_med_q,plane_6_low_q,plane_7_alt,plane_7_inc,plane_7_high_q,plane_7_med_q,plane_7_low_q,plane_8_alt,plane_8_inc,plane_8_high_q,plane_8_med_q,plane_8_low_q,plane_9_alt,plane_9_inc,plane_9_high_q,plane_9_med_q,plane_9_low_q,plane_10_alt,plane_10_inc,plane_10_high_q,plane_10_med_q,plane_10_low_q
2,265025002.0,7.082446575164795,0.6170660257339478,1,304.6688844200778,35.64127595452637,11,1,3,302.46501405498185,82.9153931946959,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,70150002.0,3.5601236820220947,0.22011151909828186,0,797.5987179587368,60.23272511652715,0,5,4,784.3647733036375,63.595265922715214,0,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6200002.0,12.770888328552246,0.5382506847381592,0,301.832023852309,35.71137019721439,0,0,2,304.1355365283224,81.77904220566037,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,167425002.0,0.007083610165864229,0.22454845905303955,1,787.5122445186049,59.93668303813193,11,5,2,788.0594710527125,61.74300475904526,0,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,39200002.0,12.956053733825684,0.5512362122535706,1,308.54576269242864,38.620997664329316,0,0,2,303.83210528630843,82.69084045563781,0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,327225002.0,0.4473380744457245,0.366752952337265,1,770.8262751598352,60.947294606566054,13,7,0,300.51117941757184,65.44726656357005,15,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,239950002.0,2.1285839080810547,0.40977925062179565,1,310.2129781099744,60.087237349855016,12,2,0,658.9009730705728,64.8321851186174,10,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,59575002.0,10.886407852172852,0.544243335723877,1,304.8978450292111,37.659322833283426,3,3,2,304.3835042973657,61.15646818706479,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,192375002.0,5.032781600952148,0.509292721748352,1,334.471149831574,59.341181141719666,8,5,0,424.0433502356184,64.38866486715061,8,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,89925002.0,1.9916160106658936,0.25698989629745483,0,758.6094444622718,38.73261423067028,5,7,0,784.9875072865464,68.12741467226436,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,261600002.0,1.1800864934921265,0.3544543385505676,1,523.8918855329343,60.19105222257094,12,3,0,622.2643858640981,65.26111323919929,10,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,140275002.0,1.4496386051177979,0.3129079341888428,1,746.8048137151068,60.35667486031936,7,7,0,304.33688354015965,59.54472242463544,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,226275002.0,2.881657838821411,0.4547874331474304,0,569.0290432687607,64.18657525387901,11,9,0,308.04752406029843,61.848039424499405,7,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6200002.0,12.425590515136719,0.5373616814613342,0,301.832023852309,35.58785629079134,0,0,2,304.1355365283224,62.70334454532122,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,247225002.0,0.7843808531761169,0.3321562111377716,1,500.6379256642515,62.63302581355202,10,7,0,747.1471580503787,61.5481167942106,11,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,105600002.0,9.232239723205566,0.5755512118339539,0,308.40263411400826,35.58785629079134,10,0,0,300.723122046567,62.70334454532122,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,29850002.0,11.676968574523926,0.5281545519828796,0,308.54657582267004,38.56952223214233,0,3,0,341.3157175640593,82.45654368479812,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,120750002.0,4.416778564453125,0.3491491973400116,1,716.2592915838566,38.26681282636866,6,1,0,326.37386983679374,83.13467545288391,1,9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13925002.0,12.185997009277344,0.5248136520385742,0,308.24833415137573,35.751794048775245,0,2,0,341.9458468494628,82.45654368479812,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,55625002.0,4.926971912384033,0.2286057025194168,0,782.7732867291297,60.23272511652715,1,5,0,784.3647733036375,65.37635282502663,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,79175002.0,9.483719825744629,0.5406181216239929,1,305.5725266527495,35.05022628135973,3,7,2,304.3835042973657,65.18924990799357,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,62275002.0,6.666069030761719,0.400441974401474,1,569.2920584900152,66.515238653862,2,7,1,304.189432780566,58.423590346388416,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,271725002.0,5.697010040283203,0.5919474959373474,1,316.5260926767703,37.52061929643723,10,3,0,300.0900767691924,64.00149836489777,15,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,265025002.0,5.997885227203369,0.6161770224571228,1,304.6688844200778,35.64127595452637,11,1,3,302.46501405498185,65.40063528019361,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,158975002.0,5.412550926208496,0.5343521237373352,1,309.63429379512587,37.46291050839779,6,3,0,429.6864081182196,62.12249102557545,8,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,198050002.0,1.617491364479065,0.35059383511543274,1,733.7851203912402,41.541883132365015,10,6,2,308.2587382694732,62.39085265387941,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9300002.0,11.040390968322754,0.43361008167266846,1,487.94844024756674,38.766890994179676,0,0,3,300.1478461326365,62.58051712480353,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,251750002.0,0.37300655245780945,0.2851606011390686,0,611.1092340655038,65.5624519257559,12,2,0,790.5254670863924,62.76580575018637,11,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,55125002.0,9.399918556213379,0.4822750687599182,1,419.2531168658473,35.71137019721439,1,9,0,333.4464450419,64.43051001770958,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32950002.0,6.927513599395752,0.2663711905479431,1,785.0906540752824,59.76687061794006,1,4,2,645.2984083236128,65.28253043791373,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,206225002.0,4.153002738952637,0.49771955609321594,1,499.7085653270126,60.322134282445134,7,7,0,302.2915186342751,64.26945226760631,10,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,271850002.0,3.330336570739746,0.4868110120296478,1,523.2226402568865,60.280908739874434,9,7,0,304.511509207387,61.27745464355315,14,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,136025002.0,6.744747638702393,0.4631709158420563,1,568.7989594588512,60.4776976551708,0,7,1,304.254087283415,61.931451784704336,10,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,308150002.0,2.3595948219299316,0.46005839109420776,1,312.50030938395736,36.46903416895439,14,4,0,617.9867778939384,61.19602452677691,14,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,256000002.0,5.2271270751953125,0.5149238109588623,1,335.20911298322056,38.74014374198464,13,5,0,410.8716655340114,64.38866486715061,8,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,52600002.0,5.778405666351318,0.33943405747413635,1,709.6101162586224,59.83537358288216,0,7,2,303.9704884350508,67.77412922209413,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,303500002.0,5.589417934417725,0.5973783135414124,1,312.92545590689747,62.94786071725217,13,4,0,300.8430417037961,65.27018338990334,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,141700002.0,3.486814498901367,0.38611382246017456,1,558.2505143517727,37.37823788855303,10,8,0,428.09042458144734,65.23377404959318,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,201250002.0,0.5774115920066833,0.3078431785106659,1,740.5568515334517,60.672306037943606,13,7,0,301.27274135778947,62.57748526524952,1,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,74850002.0,6.04346227645874,0.4156397581100464,0,562.8046468630757,35.56968377571155,7,0,0,300.75780722581715,62.66332656031781,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,169475002.0,3.690884828567505,0.43604564666748047,1,500.2016643581764,66.22675862852648,11,7,0,302.2268641311771,64.32652769822415,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,25275002.0,9.048678398132324,0.4214973747730255,1,504.9278134159229,39.83181188610695,0,4,2,303.0203247908466,65.18078248940913,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,39200002.0,5.758968353271484,0.24802590906620026,0,748.3387993922382,58.77234410489483,0,2,2,791.8578125169087,59.44567415024663,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,163350002.0,0.6921250224113464,0.2813885807991028,1,764.8300839264963,39.133108985584435,10,8,0,399.43050135276843,60.33832107527108,0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,62400002.0,10.534088134765625,0.5461300611495972,1,308.54576269242864,38.620997664329316,0,6,2,303.89682883616024,62.29188002056179,0,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,53500002.0,5.558908939361572,0.2384929209947586,0,793.5463121564056,59.75624520225532,0,8,0,792.3745470571812,64.09407707373708,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,209200002.0,3.223799705505371,0.428545206785202,0,322.7427615408467,57.567364869560386,9,2,2,606.448036311322,64.9550125391351,10,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33025002.0,6.473709583282471,0.29950129985809326,0,783.0096771197357,59.539778475140444,0,5,4,333.62301493709253,59.819442203950054,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17475002.0,8.748767852783203,0.2943345606327057,0,758.3376777164252,59.71245582813058,1,1,0,645.2984083236128,65.28253043791373,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,221450002.0,1.3411344289779663,0.3730769753456116,1,508.357010666365,60.13212384315547,11,0,2,609.1793360173349,64.8321851186174,10,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,319550002.0,5.508397102355957,0.5861844420433044,1,317.680999964203,39.2520215320646,13,7,0,300.44123891071285,63.04537398611909,14,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,299500002.0,0.039037659764289856,0.28805217146873474,1,740.4907669480125,60.19105222257094,13,3,0,617.4931168732994,61.20640024402288,13,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,113000002.0,1.5625580549240112,0.3185867667198181,1,709.0567059467932,59.83537358288216,7,8,0,300.85402299371754,61.58162120023135,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,42800002.0,6.118526935577393,0.2639853060245514,1,713.479048268742,60.833660386038744,0,9,0,785.9349920742062,67.84577617904553,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,33850002.0,11.997191429138184,0.5392571687698364,1,306.91262127690516,34.36636692790975,1,0,1,315.3407358339323,65.62129836409,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,46350002.0,5.904982566833496,0.2962562143802643,1,764.8300839264963,39.133108985584435,1,8,0,399.43050135276843,60.33832107527108,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,279975002.0,2.4147231578826904,0.44316917657852173,1,301.6985004118683,35.91826801664831,10,5,0,643.0163285402234,64.0547815846427,15,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,88200002.0,8.496920585632324,0.515727698802948,1,425.2625884119191,35.5315976760945,4,0,2,300.4564666023427,65.58179088150301,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101150002.0,8.105920791625977,0.4926789104938507,0,448.87737769590683,34.018101538500716,5,0,1,315.3407358339323,62.24050418729893,2,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,173475002.0,4.495716571807861,0.47732487320899963,1,500.2016643581764,38.567675268728394,9,7,0,302.22830138870137,64.44195771714294,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,160525002.0,7.264641761779785,0.5857928991317749,1,307.59787114104506,37.54665426954468,6,3,0,302.816587404257,62.76944348001114,8,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,51325002.0,11.904425621032715,0.5516454577445984,0,301.832023852309,35.71137019721439,0,0,2,304.1355365283224,81.77904220566037,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,199075002.0,2.6225006580352783,0.3945271670818329,0,613.005299469407,60.294511653275194,12,7,0,308.34250766049945,59.82232039460626,4,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,154600002.0,3.8664052486419678,0.4215937554836273,1,530.6299018702897,59.43739462026591,10,4,4,315.0882669699352,60.41803690270745,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,144725002.0,7.385188102722168,0.5478051900863647,0,348.0216727172264,35.496460253132675,8,7,0,302.81121503875266,65.55835851393144,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,285200002.0,1.9601994752883911,0.4179905354976654,1,558.2505143517727,37.37823788855303,10,8,0,430.8635383577177,61.08151680718281,14,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,292350002.0,0.9844881892204285,0.39616844058036804,1,686.9502824794309,39.63557965244001,11,7,0,300.13300036092477,61.37890026471898,14,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,288225002.0,0.22012419998645782,0.2729114294052124,1,785.0906540752824,57.039098753894265,10,7,0,635.7700315681066,59.84856469590766,15,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,171025002.0,1.772780418395996,0.33524131774902344,1,746.8048137151068,59.05675448955022,8,7,0,302.7702508501686,59.54472242463544,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,72400002.0,2.5981595516204834,0.24551323056221008,0,793.4617153672411,60.905943386880544,5,4,1,784.3647733036375,65.5561497709646,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,229700002.0,0.12005729973316193,0.27017536759376526,0,684.6762513222709,65.6855407794316,11,2,0,751.6948801771217,64.33926309090721,10,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,289250002.0,3.2393903732299805,0.5025361180305481,1,507.57138911236143,62.94786071725217,10,8,0,300.0900767691924,64.00149836489777,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,236975002.0,0.8830110430717468,0.33240488171577454,0,509.33412192254013,65.70674035805588,10,7,2,734.3406100529945,61.8013005529391,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22175002.0,10.398452758789062,0.5140675902366638,1,316.7551070009521,59.35054340886065,0,4,0,340.38932873753305,64.98499883289298,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,58150002.0,8.91607666015625,0.43052828311920166,0,500.07393399876,64.97540495125003,2,4,2,302.2026793513526,64.99656891258512,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,31850002.0,7.764708518981934,0.27720364928245544,1,785.0906540752824,62.263077608296896,2,2,0,628.3507365437677,64.2905286483977,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,296925002.0,5.667785167694092,0.6037072539329529,0,308.7641627596536,38.48384599264888,13,7,0,303.11399415998164,64.20888228318536,13,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,273275002.0,2.5092015266418457,0.4659380316734314,1,300.2777336484109,37.24024037893243,11,3,1,604.0518563351923,61.19602452677691,14,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,124875002.0,4.713342189788818,0.42119067907333374,1,519.1173863189381,59.33558817506544,7,5,2,315.0882669699352,61.59787714743148,0,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
