num_planes,cost,revisit_time,quality,f_phasing,plane_1_alt,plane_1_inc,plane_1_high_q,plane_1_med_q,plane_1_low_q,plane_2_alt,plane_2_inc,plane_2_high_q,plane_2_med_q,plane_2_low_q,plane_3_alt,plane_3_inc,plane_3_high_q,plane_3_med_q,plane_3_low_q,plane_4_alt,plane_4_inc,plane_4_high_q,plane_4_med_q,plane_4_low_q,plane_5_alt,plane_5_inc,plane_5_high_q,plane_5_med_q,plane_5_low_q,plane_6_alt,plane_6_inc,plane_6_high_q,plane_6_med_q,plane_6_low_q,plane_7_alt,plane_7_inc,plane_7_high_q,plane_7_med_q,plane_7_low_q,plane_8_alt,plane_8_inc,plane_8_high_q,plane_8_med_q,plane_8_low_q,plane_9_alt,plane_9_inc,plane_9_high_q,plane_9_med_q,plane_9_low_q,plane_10_alt,plane_10_inc,plane_10_high_q,plane_10_med_q,plane_10_low_q
2,410000002.0,2.434333086013794,0.44281166791915894,1,330.4609532188017,97.05976043229765,20,0,0,300.5631800597529,35.86400147237063,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,105600002.0,10.881668090820312,0.5549521446228027,0,300.0016373217038,84.81168106962481,10,0,0,300.31623976947526,26.097501867480435,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,78900002.0,3.151923418045044,0.25306278467178345,0,793.4898604917223,36.29549453078248,0,13,1,798.6845024181034,25.452558660077525,0,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6200002.0,11.910240173339844,0.5230303406715393,0,301.77004478104504,40.041812323845456,0,0,2,300.265353905537,38.49057006871363,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,403875002.0,1.4555754661560059,0.29171159863471985,0,696.4536077683849,26.171494750618617,19,1,0,798.0073418690597,33.57243994632615,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,218475002.0,4.575725078582764,0.4741692841053009,0,385.7645807868878,41.7871172742795,18,1,0,513.9921911204669,33.567560923896316,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16000002.0,9.485628128051758,0.3001086413860321,0,579.508846729477,43.77664937904409,0,1,2,740.5496789969706,27.26894840373893,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32500002.0,9.704338073730469,0.32566434144973755,0,583.6881941184257,36.966580368178946,0,2,4,555.7162594480656,40.28277858272561,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10325002.0,7.708375930786133,0.2703007459640503,0,787.9966922080212,55.53989468665887,0,1,2,798.6845024181034,27.26894840373893,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,348500002.0,3.4345171451568604,0.47650545835494995,1,320.29012659476865,36.16006035928808,17,0,0,330.5263499507002,29.535054966042225,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
