num_planes,solution_index,cost,revisit_time,quality,f_phasing,plane_1_alt,plane_1_inc,plane_1_high_q,plane_1_med_q,plane_1_low_q,plane_2_alt,plane_2_inc,plane_2_high_q,plane_2_med_q,plane_2_low_q,plane_3_alt,plane_3_inc,plane_3_high_q,plane_3_med_q,plane_3_low_q,plane_4_alt,plane_4_inc,plane_4_high_q,plane_4_med_q,plane_4_low_q,plane_5_alt,plane_5_inc,plane_5_high_q,plane_5_med_q,plane_5_low_q,plane_6_alt,plane_6_inc,plane_6_high_q,plane_6_med_q,plane_6_low_q,plane_7_alt,plane_7_inc,plane_7_high_q,plane_7_med_q,plane_7_low_q,plane_8_alt,plane_8_inc,plane_8_high_q,plane_8_med_q,plane_8_low_q,plane_9_alt,plane_9_inc,plane_9_high_q,plane_9_med_q,plane_9_low_q,plane_10_alt,plane_10_inc,plane_10_high_q,plane_10_med_q,plane_10_low_q
1,0,2819824.7232037243,1.5995177030563354,0.5991002321243286,2.0721005705068434,799.9258571481134,85.2371753449888,0.002924049399226846,0.061834727776412635,0.9901838482477077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,225376413.9831921,0.0014775358140468597,0.6542478203773499,0.49331807217782603,796.5892815339599,79.39465206013726,16.628316791485062,13.07525291538967,0.0004829641856766965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2,246155044.19112837,0.07771065086126328,0.6552262902259827,1.5532547037960187,798.3973517742068,85.20034124971077,17.067624222705565,17.020997958235498,0.00018021333865490667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,3,2603525.7469482557,1.6126476526260376,0.5991002321243286,1.6545351596589022,799.9311465384143,83.39858884857966,0.002924049399226846,0.009398612320541525,0.9901838482477077,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,4,11281458.161007972,2.0420420169830322,0.630801260471344,1.1184752993707907,799.9605448092813,27.18279274470772,1.0030689423252759,5.3898397966989364e-09,9.548005197609444e-07,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,5,175260099.37661234,1.0398179292678833,0.6751487851142883,1.8284891752744457,799.9343477585434,26.26808263687309,17.00097755090579,1.2950871545092894e-05,1.6811279262718363e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,72394141.27505085,0.6360594630241394,0.6354555487632751,0.5340899540202685,799.7369602123409,89.57208168023898,2.9224302414959054,10.045859624911778,3.8933520471417566e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,7,213812274.8254348,0.3743652105331421,0.6612535119056702,1.952384056094648,799.2807507010002,78.9531863593265,18.440477923398234,5.769027997485894,8.749740230125846e-05,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,8,244010454.63250604,0.012801654636859894,0.6545684933662415,0.5060427448222025,798.3713447540538,83.36070781302682,18.457298557396367,13.047853533261938,0.0004829641856766965,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,9,9267363.229624655,1.9318053722381592,0.6113089919090271,1.5326422782574909,797.182008676489,25.846312496016044,0.0002573698205328061,2.003569012738198,1.942851048931532e-06,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,10,53291358.46448079,0.8230019807815552,0.6169602870941162,0.5840386481100512,798.7544619315664,88.70477069333243,1.0019599639050834,10.186916904673865,0.00015264688644611116,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,11,231201417.1979748,0.16963501274585724,0.6552262902259827,1.21914047075091,797.6952589698276,85.36284224497783,17.082967040931205,13.346865667805476,0.029151063698296287,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,12,16085193.562950965,1.8616559505462646,0.6273412108421326,1.9810159377783862,799.9168389603096,25.37503088350218,1.0030689328649205,0.006860898107824462,3.0809263202520984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,13,5138945.965769038,1.966792106628418,0.607140839099884,1.7236776296342284,797.7697780869743,25.984490436583886,0.0001525906104552106,1.0028586081648911,0.00038074408496552114,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
