f_phasing,altitude_plane_1_km,inclination_plane_1_deg,high_q_plane_1,med_q_plane_1,low_q_plane_1,altitude_plane_2_km,inclination_plane_2_deg,high_q_plane_2,med_q_plane_2,low_q_plane_2,altitude_plane_3_km,inclination_plane_3_deg,high_q_plane_3,med_q_plane_3,low_q_plane_3,altitude_plane_4_km,inclination_plane_4_deg,high_q_plane_4,med_q_plane_4,low_q_plane_4,altitude_plane_5_km,inclination_plane_5_deg,high_q_plane_5,med_q_plane_5,low_q_plane_5,altitude_plane_6_km,inclination_plane_6_deg,high_q_plane_6,med_q_plane_6,low_q_plane_6,altitude_plane_7_km,inclination_plane_7_deg,high_q_plane_7,med_q_plane_7,low_q_plane_7,altitude_plane_8_km,inclination_plane_8_deg,high_q_plane_8,med_q_plane_8,low_q_plane_8,altitude_plane_9_km,inclination_plane_9_deg,high_q_plane_9,med_q_plane_9,low_q_plane_9,altitude_plane_10_km,inclination_plane_10_deg,high_q_plane_10,med_q_plane_10,low_q_plane_10,total_system_cost_usd,mean_revisit_time_hr,mean_achieved_quality
0,729.43,95.33,5,5,2,735.48,62.51,3,0,4,789.6,55.18,8,6,5,764.95,35.61,1,0,2,351.47,94.43,9,3,5,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,352150000.0,1.5285,0.281
3,615.95,34.53,2,4,6,747.77,73.81,1,4,5,529.12,44.87,2,0,2,403.72,35.03,0,6,4,394.78,40.57,6,6,2,473.75,97.89,0,0,2,506.96,95.58,5,8,5,551.5,50.42,2,3,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,355775000.0,2.4159,0.3631
0,463.94,88.87,2,2,7,315.82,50.82,1,2,3,720.46,93.82,1,0,2,750.13,93.64,2,0,7,698.18,45.38,1,6,6,730.8,64.44,9,6,2,581.26,28.72,4,0,3,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,317500000.0,1.565,0.2848
0,646.13,55.03,8,2,9,532.82,45.65,1,0,4,579.42,70.09,1,3,3,427.2,34.32,5,2,4,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,213625000.0,3.4376,0.3424
1,723.75,58.3,5,4,4,677.18,72.79,3,6,5,663.32,38.04,3,2,2,481.0,71.61,0,5,3,350.94,37.6,2,2,11,493.3,34.63,5,3,5,350.32,33.05,1,2,6,382.74,63.51,8,5,1,477.23,71.56,3,4,7,352.6,60.96,2,0,3,536975000.0,1.3615,0.3623
3,620.38,66.73,1,1,3,620.17,96.72,3,4,9,368.3,51.47,3,5,2,426.15,65.19,2,1,9,529.56,43.28,10,5,4,680.63,39.15,6,0,4,775.18,42.68,6,1,8,428.14,62.88,3,3,6,704.19,52.05,0,12,2,-1.0,-1.0,-1,-1,-1,553350000.0,1.3324,0.3319
2,348.9,95.48,8,4,7,752.35,41.34,1,3,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,135075000.0,6.1558,0.3788
1,758.27,67.72,1,1,3,772.27,27.34,1,0,2,505.19,95.95,7,5,7,403.42,80.99,7,3,9,725.35,76.15,0,0,2,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,236775000.0,3.6822,0.3722
2,502.18,62.67,2,3,2,517.67,29.63,5,5,4,508.57,33.58,2,1,4,370.65,96.07,7,1,10,561.95,41.43,11,2,7,487.37,80.28,1,5,6,473.34,78.03,0,1,2,563.07,79.05,3,5,4,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,473075000.0,2.0518,0.3852
1,766.42,25.14,4,2,11,530.29,71.55,3,4,3,507.38,95.97,0,1,2,773.96,50.89,4,3,7,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1,-1,-1,189650000.0,2.9666,0.2831
